,political_review,date
2087,Pakistani FM to start three-day visit to Egypt on Tuesday,2021-02-15
2088,Egypt considers NGOs as partners in implementing national projects: Minister El-Qabbaj,2021-02-15
2089,"Egyptian delegation arrives in Tripoli to discuss reopening embassy, consulate in Libya",2021-02-15
2090,Renowned Egyptian labour rights advocate El-Badri Farghaly dies at 74,2021-02-15
2091,Egypt's university exams will not be replaced by research papers: Minister,2021-02-15
2092,"Egypt reports 611 new coronavirus cases, 59 deaths on Sunday",2021-02-15
2093,"Egypt’s education minister announces mid-year, final exams plan for school students",2021-02-14
2094,Egypt's Sisi directs parents be given freedom to choose how to complete current school year,2021-02-14
2095,MP Mohamed Abdel-Alim dismissed as parliamentary spokesman of Al-Wafd party,2021-02-14
2096,"No tangible results achieved in AU-sponsored GERD negotiations, Egypt's FM tells Finnish counterpart",2021-02-14
2097,Egypt's parliament approves information minister's request for time to respond to criticism report,2021-02-14
2098,INTERVIEW: Chairman of Egyptian Judges Club says some int’l organisations have double standards,2021-02-14
2099,In Photos: EgyptAir 'Spreads the Love' to travellers on Valentine's Day,2021-02-14
2100,"US believes negotiated solution in GERD dispute is 'possible,' says State Department spokesperson",2021-02-14
2101,Egypt condemns deadly attack on UN convoy in Afghanistan,2021-02-14
2102,"Egypt reports 600 new coronavirus cases, 36 deaths on Saturday",2021-02-14
2103,Egypt extends mid-year vacation for one week over coronavirus concerns,2021-02-13
2104,Egypt’s Public Prosecution releases former MP El-Hariri on bail in election bribes inquiry,2021-02-13
2105,Egypt’s supply of medical oxygen stable; strategic stock at 1.16 mln litres: Health minister,2021-02-13
2106,Egypt parliament to vote on the Senate's bylaws; discuss the anti-Heikal report this week,2021-02-13
2107,"Egypt’s Sisi urges developing programs to qualify imams, preachers",2021-02-13
2108,Egypt-US strategic relations based on mutual interests: FM,2021-02-13
2109,Egypt's tourism ministry begins campaign to aesthetically upgrade all statues nationwide,2021-02-13
2110,"Egypt to witness spell of cold, unstable weather starting Tuesday",2021-02-13
2111,"Egypt, Greece, Cyprus cooperation targets regional peace, prosperity: FMs",2021-02-13
2112,"Egypt reports 609 new coronavirus cases, 42 deaths on Friday",2021-02-13
2113,In Photos: Egypt's Sisi inspects Mostorod Axis Development project in East Cairo,2021-02-12
2114,Egypt’s health ministry discusses cooperation with Siemens Healthineers,2021-02-12
2115,Nothing prevents resuming in-class education in Egypt: Health ministry,2021-02-12
2116,"Egypt reports 603 new coronavirus cases, 53 deaths on Thursday",2021-02-12
2117,"Egypt's stance toward Palestinian issue is unwavering, Sisi tells Palestinian counterpart",2021-02-11
2118,Wives of 20 ambassadors in Egypt tour Saqqara necropolis on Thursday,2021-02-11
2119,"Egypt’s State Council, CEPEJ hold roundtable on installing digital information panels in courts",2021-02-11
2120,"Cairo aspires to maintain trilateral coordination with Amman and Baghdad, Sisi tells Jordanian PM",2021-02-11
2121,"Philia Forum countries seek balanced relations, condemn foreign interference in Arab countries: Egypt FM",2021-02-11
2122,Egypt’s Sisi receives message from Saudi King Salman tackling issues of mutual concern,2021-02-11
2123,Saudi court sentences Egyptian engineer Abul-Qasim to life for drug trafficking,2021-02-11
2124,"Egypt, Jordan PMs inspect development work in Tahrir Square",2021-02-11
2125,Egypt’s hospitals accredited for compliance with int'l quality standards,2021-02-11
2126,"Egypt expected to see increase in coronavirus cases in April, Health minister tells WHO ",2021-02-11
2127,"Egypt MPs accuse information minister of poor performance, negligence: Report",2021-02-11
2128,Egypt's farmers tap new technology to save water and boost crops,2021-02-11
2129,In Photos: Egypt's canal rehabilitation and lining project proceeding at rapid pace,2021-02-11
2130,Egypt lauded for granting immigrants rights equal to citizens: IOM chief in Cairo,2021-02-11
2131,"Egypt, Cyprus FMs discuss bilateral relations, regional issues ahead of Philia Forum",2021-02-11
2132,"Egypt, Greece agree on continued consultations between the two countries ahead of Philia Forum ",2021-02-11
2133,"Egyptian foreign minister congratulates new Sudanese FM Al-Mahdi on post, invites her to visit Cairo",2021-02-11
2134,"Egypt reports 610 new coronavirus cases, 52 deaths on Wednesday",2021-02-11
2135,Egypt extends condolences to Morocco over death of Tangier factory workers,2021-02-10
2136,Egypt’s Administrative Prosecution orders swift referral of building violators to disciplinary trial,2021-02-10
2137,Cairo’s Liver Institute operates first HIFU device in Middle East and Africa,2021-02-10
2138,"Iraqi FM tells Sisi Baghdad is keen to continue coordination, consultation with Egypt on all levels ",2021-02-10
2139,"Egypt aspires for terminating Libyan divisions, Sisi tells new leadership",2021-02-10
2140,Egypt condemns Houthi militia's targeting of Saudi Arabia's Abha airport,2021-02-10
2141,55 individuals discharged from hospital after being injured in collision on Ismailiya-Zagazig road: Health ministry,2021-02-10
2142,German airline Condor to increase tourist trips to Hurghada in March,2021-02-10
2143,Cairo Tower lights up in red to celebrate Hope Probe's arrival to Mars,2021-02-10
2144,"Egypt reports 573 new coronavirus cases, 52 deaths on Tuesday",2021-02-10
2145,Egypt's Sisi says Hope Probe's arrival to Mars heralds scientific boom in Arab region,2021-02-09
2146,Egypt's FM heads for Athens for meeting on conditions in Eastern Mediterranean,2021-02-09
2147,Egypt to hold new round of Palestinian National Dialogue in March ahead of elections,2021-02-09
2148,"Egypt's Al-Wafd party expels eight high-ranking members, including MP and senator",2021-02-09
2149,Egypt's Sisi discusses with Belgian CEOs the national project of Bardawil Lake in North Sinai,2021-02-09
2150,Egypt prosecution refers dentist accused of sexually harassing four men to criminal court,2021-02-09
2151,"Egypt parliament approves amendments to the traffic law, imposing new fees to support 'smart transport systems'",2021-02-09
2152,Egypt’s National Training Academy to train volunteers for presidential Decent Life initiative in countryside,2021-02-09
2153,Egypt's House of Representatives raises cost of electronic vehicle data stickers in new traffic law,2021-02-09
2154,Egypt seeks to support development efforts in Iraq as part of oil-for-reconstruction mechanism,2021-02-09
2155,In Photos: Egypt's opens Rafah border crossing to Palestinians for 2nd time in February ,2021-02-09
2156,"Third round of Libyan dialogue on constitutional track kicks off in Hurghada, Egypt",2021-02-09
2157,FM Shoukry tells Libyan counterpart Egypt ready to work with new interim government ,2021-02-09
2158,"Egypt detects 567 new coronavirus cases, 48 fatalities on Monday",2021-02-09
2159,"Palestinian issue will remain the central cause for the Arab world, Egypt FM says",2021-02-08
2160,Egypt's Sisi orders strict adherence to set timeframe in constructing New Administrative Capital,2021-02-08
2161,Egypt targeting 50 million beneficiaries under Decent Life initiative: Minister,2021-02-08
2162,Authorities begin demolition of Giza building after 10-day fire ,2021-02-08
2163,In Photos: Egypt hosts National Palestinian Dialogue on Monday,2021-02-08
2164,Egypt one of few countries to achieve economic growth during COVID pandemic: Planning minister,2021-02-08
2165,"Egyptian, Jordanian, Iraqi FMs discuss economic cooperation; defending water rights; and Palestinian cause",2021-02-08
2166,"Egyptian, Jordanian FMs coordinate stances on Palestine ahead of emergency Arab League meeting",2021-02-08
2167,Egypt offers condolences to India for avalanche victims,2021-02-08
2168,Egypt condemns latest 'despicable' Houthi drone attacks against Saudi Arabia,2021-02-08
2169,"Egypt reports 534 new coronavirus cases, 47 fatalities on Sunday",2021-02-08
2170,Egypt’s FM says political solution is the best way to settle Yemeni crisis,2021-02-07
2171,"Egyptian, Lebanese FMs discuss ways to deal with Lebanon crisis",2021-02-07
2172,GCC secretary general hails Egypt’s role under Sisi in protecting Arab security,2021-02-07
2173,In Photos: Egypt's Sisi inspects development work in Cairo's slum area of Ezbet Al-Haggana,2021-02-07
2174,Egyptian authorities continue investigating incident of Alexandria leaning building,2021-02-07
2175,Egypt sends shipment of medical aid to Sudan ,2021-02-07
2176,Egypt's NCW to sign cooperation protocol with Savola to provide Egyptian women with proper nutrition education,2021-02-07
2177,"Solving Egypt's random construction problem requires total cost of EGP 3-4 trln, says Sisi",2021-02-07
2178,Egypt releases Al-Jazeera correspondent Mahmoud Hussein under precautionary measures,2021-02-07
2179,"Egypt reports 509 new coronavirus cases, 44 fatalities on Saturday",2021-02-07
2180,Son of already-detained Juhayna Chairman Safwan Sabet arrested for allegedly ‘financing terrorism’,2021-02-06
2181,"Harvard University’s Law Review publication elects its first Muslim, Egyptian-American president",2021-02-06
2182,"Egypt parliament to discuss new amendments to the traffic law, imposing new annual vehicle fees ",2021-02-06
2183,Egyptian MPs criticise US Congressman Tom Malinowski for supporting Muslim Brotherhood,2021-02-06
2184,"11 people killed, including two on verge of marriage, in road crash on Egypt’s El-Kureimat road",2021-02-06
2185,Egypt’s Sisi reiterates trust in AU role in helping resolve GERD issue,2021-02-06
2186,Egyptian security source refutes reports 4 inmates died from coronavirus,2021-02-06
2187,"Egypt’s ambassador to South Sudan voices support to peace treaty, discusses cooperation",2021-02-06
2188,Egypt's court upholds 15-year jail sentence for train driver over deadly Cairo station crash,2021-02-06
2189,Cairo International Airport receives ACI's health accreditation for measures against COVID,2021-02-06
2190,Egypt to produce 15 mln coins featuring medical workers,2021-02-06
2191,"Egypt detects 540 new coronavirus cases, 48 deaths on Friday",2021-02-06
2192,GERD talks: What was achieved under South Africa's AU chairmanship; what to expect under DRC,2021-02-05
2193,In Photos: Egypt's Sisi inspects Integrated Transport Centre project to reduce traffic congestion in capital,2021-02-05
2194,Egypt welcomes election of Libyan interim government ahead of end-year elections: Foreign ministry,2021-02-05
2195,In Photos: Egypt provided on-the-ground awareness training against COVID to 4 mln citizens since outbreak,2021-02-05
2196,"China to provide Egypt with 300,000 doses of Sinopharm COVID vaccine soon: Ambassador",2021-02-05
2197,Ethiopia shows no political will to reach agreement on GERD: Egypt's ambassador to Washington,2021-02-05
2198,"Egypt reports 532 new coronavirus cases, 52 deaths on Thursday",2021-02-05
2199,Egypt sends new batch of medical aid to Lebanon ,2021-02-04
2200,Egypt’s Sisi visits military academy,2021-02-04
2201,"Emigration ministry, PPYCC cooperate to connect with Egyptian students abroad",2021-02-04
2202,"Egypt’s Sisi calls for spreading peace, tolerance, and rejecting violence, extremism ",2021-02-04
2203,Egypt urges citizens travelling to Kuwait to suspend travel following entry ban for foreigners ,2021-02-04
2204,"Egypt elected to lead UN Peacebuilding Commission for the first time, succeeding Canada",2021-02-04
2205,"Pakistan keen on benefiting from Egypt's expertise in social housing, PM Khan tells Egyptian ambassador",2021-02-04
2206,Egypt’s FM urges quick release of fishermen detained in Eritrea,2021-02-04
2207,"Egypt reports 512 new coronavirus cases, 53 deaths on Wednesday",2021-02-04
2208,Egypt voices support for Tunisia after 4 killed in Kasserine blast ,2021-02-03
2209,Egypt prosecution investigating alleged EGP 1.5 bln pyramid scheme in Minya ,2021-02-03
2210,3 killed after train collides with tow truck in Upper Egypt ,2021-02-03
2211,Lebanese PM-designate Al-Hariri says is thankful for Egypt’s role in supporting Lebanon,2021-02-03
2212,"Fire, smoke bellow from Giza building for 5th day",2021-02-03
2213,Sisi stresses to PM-designate Al-Hariri Egypt's support for the aspirations of the Lebanese people,2021-02-03
2214,EgyptAir to operate six flights to Saudi Arabia Wednesday before travel suspension goes into effect,2021-02-03
2215,"Egyptian, Portuguese FMs discuss GERD developments, promoting European-African cooperation",2021-02-03
2216,Egypt's Sisi to receive Lebanon's PM-designate Al-Hariri in Cairo Wednesday,2021-02-03
2217,"Egypt reports 521 new coronavirus cases, 47 deaths on Tuesday ",2021-02-03
2218,Egypt’s Sisi discusses latest developments of GERD with South African counterpart ,2021-02-02
2219,EgyptAir to operate last flight from Cairo to Saudi Arabia on Wednesday before travel ban,2021-02-02
2220,Egypt prosecution orders arrest and detention of Giza building owner,2021-02-02
2221,"Egyptian, French air forces conclude air drills in Egypt",2021-02-02
2222,Egyptian minister orders speeding up developments on Ain Sokhna port to catch electric railway’s first phase,2021-02-02
2223,Egypt’s Sisi discusses GERD developments with incoming AU chairperson,2021-02-02
2224,Egypt's housing and military production ministries partner to meet needs of 'Decent Life' initiative,2021-02-02
2225,"Egypt health ministry organised 64,000 home visits to self-isolating COVID patients in January",2021-02-02
2226,"Military production ministry and El-Sewedy Electric sign MoU to manufacture electric panels, lighting poles",2021-02-02
2227,Egyptian ambassador to US briefs Congressional aides on Cairo's stance in the GERD dispute,2021-02-02
2228,"Egyptian and Brazilian FMs discuss economic cooperation, latest in GERD dispute",2021-02-02
2229,"National Press Authority, parliament committee probe response to human rights allegations against Egypt",2021-02-02
2230,"Egypt reports 541 new coronavirus cases, 44 deaths on Monday",2021-02-02
2231,Spell of unstable weather to hit Egypt starting Wednesday,2021-02-01
2232,Egypt prosecution investigating massive fire that engulfed Giza building,2021-02-01
2233,Egypt’s defence minister discusses issues of mutual concern with AU Commission chairperson,2021-02-01
2234,Egypt’s Sisi stresses importance of inter-Arab intelligence cooperation at Arab Intelligence Forum ,2021-02-01
2235,Egypt's economic reform cushioned coronavirus shocks: Finance minister tells MPs,2021-02-01
2236,Coronavirus treatment protocol updated,2021-02-01
2237,Egypt’s Sisi reviews ministry of tourism and antiquities’ projects ,2021-02-01
2238,Expo 2020 Dubai expects outstanding Egyptian participation: UAE’s Hashimi,2021-02-01
2239,Massive fire in Egypt's Giza building continues for 3rd day,2021-02-01
2240,African Union Commission head tours Grand Egyptian Museum,2021-02-01
2241,Egypt always ready to engage in serious talks over GERD: FM ,2021-02-01
2242,"Egypt detects 533 new coronavirus cases, 53 fatalities on Sunday",2021-01-31
2243,"Egypt’s Sisi follows up on project to produce, collect blood plasma derivatives",2021-01-31
2244,Egypt’s Sisi stresses need for binding deal on GERD in meeting with African Union commission head,2021-01-31
2245,Egypt receives first batch of AstraZeneca coronavirus vaccine,2021-01-31
2246,Egypt seeks to produce Covid-19 vaccines: Presidential adviser,2021-01-31
2247,"Egypt detects 547 new coronavirus cases, 46 deaths on Saturday",2021-01-31
2248,Egypt expresses condemnation of continued attacks by Houthis against Saudi Arabia,2021-01-30
2249,Son of Egyptian business tycoon referred to court over vehicular manslaughter charges after killing woman in Hurghada,2021-01-30
2250,Egypt's prosecution orders detention of man over intentionally setting Downtown Cairo shops ablaze,2021-01-30
2251,Egypt's Sisi orders continued implementation of measures to maintain monetary stability amid pandemic,2021-01-30
2252,Ten cabinet ministers to deliver portfolios before Egypt's parliament this week,2021-01-30
2253,"Egyptian, French air forces begin joint exercise using multi-mission combat aircrafts",2021-01-30
2254,Egypt to receive 1st batch of AstraZeneca vaccine on Sunday ,2021-01-30
2255,Egypt's Sisi checks on Tunisian President Said on back of poison letter incident,2021-01-30
2256,"1,315 medical staff vaccinated against COVID in first four days of inoculation in Egypt",2021-01-30
2257,Egypt’s Sisi mandates a condensed 10-year deadline for completing universal health insurance,2021-01-30
2258,Egypt re-nominates Ahmed Abul-Gheit as Arab League secretary-general,2021-01-30
2259,"In Photos: Two Czech social influencers tour Hurghada, next stop Luxor",2021-01-30
2260,In Photos: The iconic Nile Fountain is back after a 40-year hiatus,2021-01-30
2261,"Egypt detects 589 new coronavirus cases, 48 fatalities on Friday",2021-01-30
2262,In Photos: Egypt’s Sisi inspects developmental projects in Greater Cairo ,2021-01-29
2263,Egypt passed peak of 2nd coronavirus wave: Presidential advisor ,2021-01-29
2264,"Egypt expected to see warm days, very cold nights starting Sunday ",2021-01-29
2265,"Egypt reports 521 new coronavirus cases, 54 deaths on Thursday ",2021-01-29
2266,"Egyptian, Greek naval forces hold naval exercise in Mediterranean Sea",2021-01-28
2267,"Russian experts inspect Egypt’s Sharm El-Sheikh, Hurghada airports ahead of flight resumption ",2021-01-28
2268,UN working with Egypt to vaccinate migrants and refugees against COVID-19,2021-01-28
2269,Egypt sends 31 tons of medical aid to Lebanon amid pandemic crisis,2021-01-28
2270,Egypt extends condolences to Cameroon over victims of deadly collision,2021-01-28
2271,Egypt detects 632 new coronavirus cases; 48 deaths on Wednesday,2021-01-28
2272,Sisi praises Egypt's performance in dramatic World Championship quarters despite loss to Denmark,2021-01-27
2273,Arab League to hold urgent meeting on 8 February to bolster solidarity amid developments in region,2021-01-27
2274,Nigeria looking to benefit from Egypt's expertise in combating terrorism: Egyptian presidency,2021-01-27
2275,Egypt court orders release of female TikTok influencer; renews detention of another in human trafficking case,2021-01-27
2276,Minister calls on expats to participate in rehabilitating poorest villages under Decent Life Initiative,2021-01-27
2277,"Egypt FM, EU Special Representative discuss efforts to revive Israeli-Palestinian peace process ",2021-01-27
2278,Egypt's prosecution detains dentist on sexually harassing male patients charges,2021-01-27
2279,Egypt one of partners in new UK coalition to address climate change ,2021-01-27
2280,Egyptian MP to propose explicit penalty for wife battering in penal code,2021-01-27
2281,"'No reports of serious side-effects from Chinese vaccine used in Egypt,' says health ministry official",2021-01-27
2282,Egypt cabinet approves contract with French RATP to manage Cairo's new electric train line ,2021-01-27
2283,Egypt to inaugurate Ataba-Kitkat phase of 3rd metro line in December 2021,2021-01-27
2284,FM Shoukry affirms Egypt's commitment to support UN Peacebuilding Fund,2021-01-27
2285,"Egypt reports 643 new coronavirus cases, 55 deaths on Tuesday",2021-01-27
2286,Drug maker Hikma in talks to buy some assets of GlaxoSmithKline in Egypt and Tunisia ,2021-01-26
2287,"Egypt's mega projects represent 'a big opportunity' for foreign companies, says Sisi",2021-01-26
2288,Egypt to experience wave of cold weather starting Wednesday; mild to moderate rainfall is likely,2021-01-26
2289,"3,022 prisoners granted presidential pardon: Interior ministry",2021-01-26
2290,Egyptian MPs caution US congressmen against interfering in Egypt's internal affairs,2021-01-26
2291,Churches to be shut 15 days if they fail to comply with coronavirus measures: Coptic Orthodox Church ,2021-01-26
2292,"Ethiopia is acting unilaterally and intransigently in the GERD dispute, Egypt's FM tells House",2021-01-26
2293,Egyptian FM to deliver statement on foreign policy before parliament Tuesday,2021-01-26
2294,Minister outlines Egypt's efforts to fulfill international environmental commitments,2021-01-26
2295,"'Foreign media ignores accomplishments in Egypt,' SIS head says",2021-01-26
2296,Egypt strongly condemns missile attack against Riyadh,2021-01-26
2297,"Egypt reports 669 new coronavirus cases, 53 deaths on Monday",2021-01-26
2298,Egypt's education minister says no intention to cancel or postpone mid-year exams,2021-01-25
2299,Egypt to nominate Ahmed Aboul-Gheit for Arab League secretary-general for second term,2021-01-25
2300,Egypt's official gazette publishes verdict placing Muslim Brotherhood on terror list for five more years,2021-01-25
2301,Egypt’s Sisi attends Police Day celebrations at Police Academy,2021-01-25
2302,"Daily masses to resume in Cairo, Alexandria churches with limited attendance: Pope Tawadros II",2021-01-25
2303,Egyptians to apply for coronavirus vaccination soon: Health minister,2021-01-25
2304,Egypt resumes shipping and maritime activities with Qatar,2021-01-25
2305,Egyptian Islamic preacher Abla El-Kahlawy dies from coronavirus at 72,2021-01-25
2306,"Egypt detects 674 new coronavirus cases, 57 fatalities on Sunday ",2021-01-25
2307,Egypt’s Sisi congratulates handball team for qualifying for World Championship quarterfinal,2021-01-25
2308,"Egypt, ILO launch economic empowerment program to secure sustainable jobs for youth, women",2021-01-24
2309,Egypt’s Sisi urges developing electric infrastructure in countryside,2021-01-24
2310,Coronavirus vaccination campaign to start nationwide on Monday: Health minister,2021-01-24
2311,Egypt's irrigation minister accuses Ethiopia of disrupting GERD negotiations,2021-01-24
2312,Egypt launches electronic system for Decent Life Initiative,2021-01-24
2313,In Photos: Ukrainian bloggers visit tourist spots across Egypt to promote sector ,2021-01-24
2314,Egypt starts vaccinating medical teams against coronavirus,2021-01-24
2315,Eight cabinet ministers to deliver statements before Egypt's parliament this week,2021-01-24
2316,"Thursday paid holiday for 25 January Revolution anniversary, Police Day",2021-01-24
2317,Egypt's Sisi ratifies extension of state of emergency for three months,2021-01-24
2318,"Egypt detects 680 new coronavirus cases, 49 fatalities on Saturday",2021-01-24
2319,Egypt to begin COVID-19 vaccinations on Sunday: Sisi,2021-01-23
2320,Egypt's Sisi opens host of development projects nationwide,2021-01-23
2321,Egypt to roll out COVID-19 vaccination program on medical staff this week,2021-01-23
2322,Egypt’s Public Prosecution releases defendant in Fairmont case pending investigation,2021-01-23
2323,Egypt’s Sisi inaugurates fish farming project in Port Said ,2021-01-23
2324,"Egypt reports 748 new coronavirus cases, 52 deaths on Friday",2021-01-23
2325,"Egypt, China sign agreement to complete work at business district in New Administrative Capital",2021-01-22
2326,In Photos: Egypt's Sisi tours state-of-the-art facilities at Police Academy,2021-01-22
2327,"New Russian delegation to inspect Sharm El-Sheikh, Hurghada airports Wednesday: Sources",2021-01-22
2328,Egypt received 1.4 mln tourists July-December 2020 after resumption of int'l flights,2021-01-22
2329,UN adopts Egypt-backed resolution condemning offences against religious sites,2021-01-22
2330,"Egypt reports 752 new coronavirus cases, 54 deaths on Thursday",2021-01-22
2331,"Cairo Eye to be inaugurated in 2022, investments worth EGP 500 mln: Officials",2021-01-21
2332,Egypt's Sisi orders improving environment to comply with state's strategy for good governance,2021-01-21
2333,Egypt's Sisi orders interior ministry's new facilities comprise service complexes,2021-01-21
2334,"Saudi Arabia releases Egyptian fishing boat seized for illegal fishing, trespassing ",2021-01-21
2335,Egypt court overturns closure of human rights NGO El-Nadeem ,2021-01-21
2336,"Egypt partners with EU, UNDP to contain coronavirus repercussions on most vulnerable groups",2021-01-21
2337,Egypt condemns deadly suicide bombings in Baghdad market,2021-01-21
2338,Egypt's parliament approves re-extending state of emergency for three months,2021-01-21
2339,Travelers to Jordan from Egypt required to present negative COVID-19 test before departure: EgyptAir,2021-01-21
2340,"Egypt reports 789 new coronavirus cases, 51 deaths on Wednesday",2021-01-21
2341,"Qatar pledges to not interfere in Egypt’s affairs, change Al-Jazeera orientation, officials tell Reuters",2021-01-20
2342,Egypt Cabinet approves bill increasing penalty for FGM to 20 years in prison,2021-01-20
2343,Egypt resumes diplomatic relations with Qatar ,2021-01-20
2344,"Egypt’s economy demonstrated resilience despite pandemic’s economic repercussions, says Sisi",2021-01-20
2345,Egypt briefs African ambassadors on preparations for Aswan Forum II,2021-01-20
2346,"Egypt reports 899 new coronavirus cases, 58 deaths on Tuesday",2021-01-20
2347,Egypt’s Trade Union Federation calls for overturning Iron and Steel Company liquidation,2021-01-19
2348,Egypt’s Sisi congratulates Ugandan counterpart on re-election,2021-01-19
2349,German companies eye cooperation with Egypt in transport and logistics: German ambassador,2021-01-19
2350,Egypt's prosecution releases baker accused of baking sexually explicit cupcakes,2021-01-19
2351,Egypt urges Libya’s parties to reach consensus over arrangements for planned elections,2021-01-19
2352,"Food subsidies should go directly to consumers not merchants, Egypt’s supply minister tells parliament ",2021-01-19
2353,Minister of Information Osama Heikal defends himself in parliament,2021-01-19
2354,"VIDEO: Foreign media figures, human rights groups hail inmates conditions in visit to Cairo’s Tora prison",2021-01-19
2355,Egypt condemns deadly attack on two women judges in Kabul,2021-01-19
2356,"Jordan keen on benefiting from Egypt’s development experience, PM Al-Khasawneh tells President Sisi ",2021-01-19
2357,"Qatar Airways, EgyptAir resume flights to Cairo, Doha after end of boycott ",2021-01-19
2358,Egypt's planning minister follows up on 'Be An Ambassador' initiative,2021-01-19
2359,"Egypt reports 878 new coronavirus cases, 55 fatalities on Monday",2021-01-19
2360,Egypt's defence minister receives Greece's army chief of staff in Cairo,2021-01-18
2361,Sudan rejects 'fait accompli policy' in GERD dispute,2021-01-18
2362,"Egypt, Jordan agree to push forward efforts to settle Palestinian issue",2021-01-18
2363,Egypt sends medical aid to Jordan to combat coronavirus: Armed Forces,2021-01-18
2364,Coptic Pope Tawadros II leads Epiphany mass in absence of congregation,2021-01-18
2365,"Gov't policies in last 2 years developed the economy and protected citizens, Egypt PM tells parliament",2021-01-18
2366,King of Jordan Abdullah II receives Egypt's Sisi upon arrival in Amman for official visit,2021-01-18
2367,Egypt condemns Israeli plans to expand settlements in the occupied West Bank,2021-01-18
2368,Egypt voices support to Saudi Arabia against terrorism after latest Houthi attack,2021-01-18
2369,Egypt detects 890 new coronavirus cases; 56 fatalities on Sunday,2021-01-18
2370,Egypt General Intelligence Service chief delivers Sisi’s message to Palestinian president,2021-01-17
2371,Egypt's PM to deliver statement on gov't policy programme before parliament Monday,2021-01-17
2372,Egypt's Sisi urges largest percentage of local components for electric car manufacturing,2021-01-17
2373,Egypt’s public prosecutor refers three to court for joining terrorist group in Libya,2021-01-17
2374,Egypt’s Sisi discusses means to activate African Continental Free Trade Area,2021-01-17
2375,"Liquidation of the Egyptian Iron and Steel Company should come only after careful study, MPs say",2021-01-17
2376,Egypt's parliament to summon prime minister to answer questions on 'Egypt Kicks Off' programme,2021-01-17
2377,Egypt's Sisi to visit Jordan Monday: PNA,2021-01-17
2378,All you need to know about Egypt's first high-speed electric railway,2021-01-17
2379,"Alexandria, Dekheila straits closed for second day due to bad weather conditions",2021-01-17
2380,Egypt receives 19 rail carriages from Russia under mega deal,2021-01-17
2381,Egypt detects 887 new coronavirus cases; 54 fatalities on Saturday,2021-01-17
2382,"Egypt's Sisi orders establishment of integrated city for gold manufacture, trade",2021-01-16
2383,"Egypt's designation of Sirte, Jufra as red lines helped in preserving Libya's political path, Sisi says",2021-01-16
2384,"Military, economic aid to Egypt excluded from US spending cuts: Al-Monitor",2021-01-16
2385,State revenues expected to drop by EGP 150 bln in FY 2020/21 owing to coronavirus,2021-01-16
2386,Alexandria airport receives 1st Libyan Buraq Air flight following long hiatus,2021-01-16
2387,"Egypt reports 879 new coronavirus cases, 52 deaths on Friday ",2021-01-16
2388,Egypt offers condolences to Indonesia over Sulawesi earthquake victims,2021-01-15
2389,UN chief appoints Elena Panova of Bulgaria as UN Resident Coordinator in Egypt,2021-01-15
2390,CNN chooses Egypt among 21 places to go to in 2021,2021-01-15
2391,"Egypt, US have many cooperation chances under Biden administration: Egyptian ambassador to Washington",2021-01-15
2392,"US steps up sanctions on HASM terrorist group, leaders ",2021-01-15
2393,"Egypt reports 1,022 new coronavirus cases, 59 deaths on Thursday",2021-01-15
2394,EGP 1 bln allocated to health ministry to acquire coronavirus vaccines: Egypt’s finance minister,2021-01-14
2395,"EgyptAir issues new measures over traveling to UK, US",2021-01-14
2396,"Egypt's Sisi discusses Ethiopia border dispute, GERD with Sudanese delegation",2021-01-14
2397,Egyptians must obtain pre-approved visa before travelling to Ethiopia: Egyptian embassy,2021-01-14
2398,Two Egyptian female TikTokers to remain in jail over 'human trafficking' charges,2021-01-14
2399,Egypt's health ministry cautions against reusing single-use masks ,2021-01-14
2400,Egypt's Mostaqbal Watan party dominates the leading posts of parliament's 25 committees,2021-01-14
2401,Egypt's court of cassation commutes jail term against brother of former minister in smuggling artifacts to Europe case,2021-01-14
2402,Egypt receives high-level Sudanese delegation to 'push means of joint cooperation',2021-01-14
2403,"EgyptAir to restart flights to Doha starting Monday after ties restored between Cairo, Doha",2021-01-14
2404,"Egypt reports 996 new coronavirus cases, 58 deaths on Wednesday",2021-01-14
2405,Egypt’s Sisi discusses cooperation with German shipbuilding company Lürssen,2021-01-13
2406,Egyptian parliament's secretary-general Mahmoud Fawzi resigns ,2021-01-13
2407,"Egypt’s president, Siemens CEO discuss final deal on construction of electric train system",2021-01-13
2408,Egypt’s Sisi inaugurates 2021 World Handball Championship,2021-01-13
2409,"Hollywood actor Mena Massoud visits Giza pyramids, says is proud of Egyptian culture",2021-01-13
2410,No increase in prices of facemasks and disinfectants: Egypt’s cabinet,2021-01-13
2411,Wafd Party MP calls for urgent session of parliament to discuss coronavirus repercussions in Egypt,2021-01-13
2412,Egypt's Medical Syndicate mourns passing of four more members due to coronavirus,2021-01-13
2413,2 policemen sentenced to 8 years for beating driver to death in Egypt’s Nile Delta,2021-01-13
2414,EgyptAir to operate daily flight to Doha after the lifting of airspace ban on Qatar,2021-01-13
2415,Mostaqbal Watan MP Ashraf Rashad selected majority leader in Egypt's House of Representatives,2021-01-13
2416,"Egypt reports 970 new coronavirus cases, 55 deaths on Tuesday ",2021-01-13
2417,Judge Hanafy El-Gebaly elected speaker of Egypt's new House of Representatives,2021-01-12
2418,"Egypt, Croatia discuss bilateral ties",2021-01-12
2419,"Egypt's health ministry signs protocol with Tahya Misr fund, Talaat Mostafa group to provide COVID vaccines",2021-01-12
